hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
hi . do you like country music ? <eos> it is ok . i prefer rock <eos> i am a country singer . i wish i was a rock singer though . <eos> that is cool . are you famous ? <eos> yes , but due to my record contract , i cannot tell you my name . are you famous ? <eos> only at my high school . i just won homecoming queen actually <eos> congratulations . i did not go to school because of my musical career . is your crown nice ? <eos> it is gorgeous ! what do you do for fun ? <eos> go to national parks . think about what i missed out on in high school . you ? <eos>	i run all the time . i want to run a 10k one day .
hi . do you like country music ? <eos> it is ok . i prefer rock <eos> i am a country singer . i wish i was a rock singer though . <eos> that is cool . are you famous ? <eos> yes , but due to my record contract , i cannot tell you my name . are you famous ? <eos> only at my high school . i just won homecoming queen actually <eos> congratulations . i did not go to school because of my musical career . is your crown nice ? <eos> it is gorgeous ! what do you do for fun ? <eos> go to national parks . think about what i missed out on in high school . you ? <eos> i run all the time . i want to run a 10k one day . <eos>	i believe in you . are you on the track team ?
hi . do you like country music ? <eos> it is ok . i prefer rock <eos> i am a country singer . i wish i was a rock singer though . <eos> that is cool . are you famous ? <eos> yes , but due to my record contract , i cannot tell you my name . are you famous ? <eos> only at my high school . i just won homecoming queen actually <eos> congratulations . i did not go to school because of my musical career . is your crown nice ? <eos> it is gorgeous ! what do you do for fun ? <eos> go to national parks . think about what i missed out on in high school . you ? <eos> i run all the time . i want to run a 10k one day . <eos> i believe in you . are you on the track team ? <eos>	yes i am . but i want to be a physical therapist when i am an adult
hi . do you like country music ? <eos> it is ok . i prefer rock <eos> i am a country singer . i wish i was a rock singer though . <eos> that is cool . are you famous ? <eos> yes , but due to my record contract , i cannot tell you my name . are you famous ? <eos> only at my high school . i just won homecoming queen actually <eos> congratulations . i did not go to school because of my musical career . is your crown nice ? <eos> it is gorgeous ! what do you do for fun ? <eos> go to national parks . think about what i missed out on in high school . you ? <eos> i run all the time . i want to run a 10k one day . <eos> i believe in you . are you on the track team ? <eos> yes i am . but i want to be a physical therapist when i am an adult <eos>	i want to be a rock singer .
hi . do you like country music ? <eos> it is ok . i prefer rock <eos> i am a country singer . i wish i was a rock singer though . <eos> that is cool . are you famous ? <eos> yes , but due to my record contract , i cannot tell you my name . are you famous ? <eos> only at my high school . i just won homecoming queen actually <eos> congratulations . i did not go to school because of my musical career . is your crown nice ? <eos> it is gorgeous ! what do you do for fun ? <eos> go to national parks . think about what i missed out on in high school . you ? <eos> i run all the time . i want to run a 10k one day . <eos> i believe in you . are you on the track team ? <eos> yes i am . but i want to be a physical therapist when i am an adult <eos> i want to be a rock singer . <eos>	you should go for it !
hello ! how are you doing today ? <eos>	i am great . third grade is tiring though even though i do not have any responsibilities .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos>	funny . well , beats being alone , recluse that i am .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos>	i am hermit . i am like mickey mouse without disney land .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos>	oh . like me . i do not go out much because of my water allergy
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos>	so i guess your name is not neptune .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos>	no . adam . i am famous for my twitch streaming .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos>	i do not video games because i am always at the playground with all my classmates
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos>	it is fun ! i helped make starcraft . have you played it ?
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos> it is fun ! i helped make starcraft . have you played it ? <eos>	no . i have played halo it is fun .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos> it is fun ! i helped make starcraft . have you played it ? <eos> no . i have played halo it is fun . <eos>	indeed . now i am into building robots now though .
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos> it is fun ! i helped make starcraft . have you played it ? <eos> no . i have played halo it is fun . <eos> indeed . now i am into building robots now though . <eos>	robots may take over the world
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos> it is fun ! i helped make starcraft . have you played it ? <eos> no . i have played halo it is fun . <eos> indeed . now i am into building robots now though . <eos> robots may take over the world <eos>	sure . i am building one to be my body double . is that not fun ?
hello ! how are you doing today ? <eos> i am great . third grade is tiring though even though i do not have any responsibilities . <eos> funny . well , beats being alone , recluse that i am . <eos> i am hermit . i am like mickey mouse without disney land . <eos> oh . like me . i do not go out much because of my water allergy <eos> so i guess your name is not neptune . <eos> no . adam . i am famous for my twitch streaming . <eos> i do not video games because i am always at the playground with all my classmates <eos> it is fun ! i helped make starcraft . have you played it ? <eos> no . i have played halo it is fun . <eos> indeed . now i am into building robots now though . <eos> robots may take over the world <eos> sure . i am building one to be my body double . is that not fun ? <eos>	i wish there was two of me so i could be double trouble .
how are you doing today <eos>	i am good ! grading papers all day , you ?
how are you doing today <eos> i am good ! grading papers all day , you ? <eos>	i am alright just recording
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos>	what are you recording ? that sounds interesting .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos>	music in my studio my kids like it
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos>	do you like the band up ? i saw them once .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos>	i used to . i am into newer stuff now
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos>	i cannot wait to go to the beach on vaca this year .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos>	have you been there before
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos>	i try to go every year with my parents . they were teachers too .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos>	all in the family career wise nice
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos> all in the family career wise nice <eos>	yeah , i followed in their footsteps .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos> all in the family career wise nice <eos> yeah , i followed in their footsteps . <eos>	you must have a lot to talk to them about
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos> all in the family career wise nice <eos> yeah , i followed in their footsteps . <eos> you must have a lot to talk to them about <eos>	sometimes . the little kids i teach always make or a good story .
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos> all in the family career wise nice <eos> yeah , i followed in their footsteps . <eos> you must have a lot to talk to them about <eos> sometimes . the little kids i teach always make or a good story . <eos>	i am sure that they do
how are you doing today <eos> i am good ! grading papers all day , you ? <eos> i am alright just recording <eos> what are you recording ? that sounds interesting . <eos> music in my studio my kids like it <eos> do you like the band up ? i saw them once . <eos> i used to . i am into newer stuff now <eos> i cannot wait to go to the beach on vaca this year . <eos> have you been there before <eos> i try to go every year with my parents . they were teachers too . <eos> all in the family career wise nice <eos> yeah , i followed in their footsteps . <eos> you must have a lot to talk to them about <eos> sometimes . the little kids i teach always make or a good story . <eos> i am sure that they do <eos>	what else do you enjoy ?
good evening from alabama ! where are you at ? <eos>	hi , i am in nevada . i am listening to country music .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos>	tacos are my favorite , do you have any great food trucks there ?
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos>	yes we do , i am a store manager and we sell really good tacos .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos>	my three sisters would love that . my brother , not so much .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos>	taylor swift walked into my store the other day ! it was awesome !
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos>	i am not fond of her . i think i would have escaped .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos>	really ? i cut my hair like hers short and brown .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos>	i prefer metal . i do not like country at all .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos>	i like metal too but the old school , like lyda ford .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos>	i love her and ozzy in close your eyes . it is one of my favorites .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos> i love her and ozzy in close your eyes . it is one of my favorites . <eos>	oh man you hit the spot ! i play it loud in my nissan pathfinder .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos> i love her and ozzy in close your eyes . it is one of my favorites . <eos> oh man you hit the spot ! i play it loud in my nissan pathfinder . <eos>	i drive a jeep wrangler . i mix it up with tupac .
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos> i love her and ozzy in close your eyes . it is one of my favorites . <eos> oh man you hit the spot ! i play it loud in my nissan pathfinder . <eos> i drive a jeep wrangler . i mix it up with tupac . <eos>	california knows how to party !
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos> i love her and ozzy in close your eyes . it is one of my favorites . <eos> oh man you hit the spot ! i play it loud in my nissan pathfinder . <eos> i drive a jeep wrangler . i mix it up with tupac . <eos> california knows how to party ! <eos>	true that ! somewhere between psalms 31 and tupac is me , lol
good evening from alabama ! where are you at ? <eos> hi , i am in nevada . i am listening to country music . <eos> tacos are my favorite , do you have any great food trucks there ? <eos> yes we do , i am a store manager and we sell really good tacos . <eos> my three sisters would love that . my brother , not so much . <eos> taylor swift walked into my store the other day ! it was awesome ! <eos> i am not fond of her . i think i would have escaped . <eos> really ? i cut my hair like hers short and brown . <eos> i prefer metal . i do not like country at all . <eos> i like metal too but the old school , like lyda ford . <eos> i love her and ozzy in close your eyes . it is one of my favorites . <eos> oh man you hit the spot ! i play it loud in my nissan pathfinder . <eos> i drive a jeep wrangler . i mix it up with tupac . <eos> california knows how to party ! <eos> true that ! somewhere between psalms 31 and tupac is me , lol <eos>	i am more like john 316 and cypress hill .
hello , how are you doing this afternoon ? do you like metal music ? <eos>	i am good and no i like country
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos>	i love america , i have only been here two years , i am from india .
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos>	cool ! i have not traveled much since my transplant
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos>	i am sorry , are you okay ?
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos>	i am yes , when i was born my heart was on the outside
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos>	what was that like ? i am a boring computer student .
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos>	it was crazy growing up i could not play like most boys
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos>	that is so sad . i loved my childhood playing with my friends .
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos>	i bet , i learned to do magic like moving things with my mind
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos>	that is very interesting , can you swim ?
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos> that is very interesting , can you swim ? <eos>	yes i enjoy swimming a lot
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos> that is very interesting , can you swim ? <eos> yes i enjoy swimming a lot <eos>	i am a coach , if you need to brush up on your skills , let me know .
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos> that is very interesting , can you swim ? <eos> yes i enjoy swimming a lot <eos> i am a coach , if you need to brush up on your skills , let me know . <eos>	thank you for the offer , i could use some pointers
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos> that is very interesting , can you swim ? <eos> yes i enjoy swimming a lot <eos> i am a coach , if you need to brush up on your skills , let me know . <eos> thank you for the offer , i could use some pointers <eos>	you are most welcome . we all must do our part to make the world better .
hello , how are you doing this afternoon ? do you like metal music ? <eos> i am good and no i like country <eos> i love america , i have only been here two years , i am from india . <eos> cool ! i have not traveled much since my transplant <eos> i am sorry , are you okay ? <eos> i am yes , when i was born my heart was on the outside <eos> what was that like ? i am a boring computer student . <eos> it was crazy growing up i could not play like most boys <eos> that is so sad . i loved my childhood playing with my friends . <eos> i bet , i learned to do magic like moving things with my mind <eos> that is very interesting , can you swim ? <eos> yes i enjoy swimming a lot <eos> i am a coach , if you need to brush up on your skills , let me know . <eos> thank you for the offer , i could use some pointers <eos> you are most welcome . we all must do our part to make the world better . <eos>	i agree with you ! i like helping at animal shelters
i love to play guitar , i was only three when i started <eos>	my parents were killed by a clown when i was three . i was then adopted
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos>	hi , how are you ? do you like country music ? i am a singer .
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos>	it is alright . i am more of a pop fan myself
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos>	sad , i am sorry , did they every caught the clown ?
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos>	no . now i get scared whenever i see one
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos>	lets be happy and not think about that , i love national parks
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos>	i recently got a job ! now i work at a gas station
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos>	do you like rascal flats ? they are my favorite band .
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos>	not really . but my adopted dad likes them
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos>	now that is something happy to talk about ! i work in the industry
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos> now that is something happy to talk about ! i work in the industry <eos>	what industry do you work in ?
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos> now that is something happy to talk about ! i work in the industry <eos> what industry do you work in ? <eos>	okay , so tell me more about yourself
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos> now that is something happy to talk about ! i work in the industry <eos> what industry do you work in ? <eos> okay , so tell me more about yourself <eos>	i am single . though my dad keeps setting me up on blind dates
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos> now that is something happy to talk about ! i work in the industry <eos> what industry do you work in ? <eos> okay , so tell me more about yourself <eos> i am single . though my dad keeps setting me up on blind dates <eos>	in the factory , that is what i mean
